PlantID,Treatment,T1_strain,T2_strain,Block,Leaf1,Leaf2,Leaf3,Leaf4,Dead1,Dead2,Dead3,Dead4,ExtraNN,Notes,Pink_nod_num,White_nod_num,Total_nod_num,Proportion_pink_count,Proportion_pink,Above_biomass,Leaf4attached,LeafWeightAprox
1,NG,N,G,1,2,2,4,6,0,0,0,0,0,0,4,0,4,1,1,0.0053,3,0.001766667
2,BN,B,N,1,2,2,3,6,0,0,0,0,0,0,0,5,5,0,0,0.0062,3,0.002066667
3,GG,G,G,1,2,2,2,2,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
4,GB,G,B,1,2,3,5,7,0,0,0,0,0,0,5,1,6,  5/6 ,0.833333333,0.0344,5,0.00688
5,NN,N,N,1,2,3,4,4,0,0,1,1,0,ROOTS INTACT,0,0,0,NA,NA,,,
6,BB,B,B,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
7,NG,N,G,1,2,3,4,5,0,0,0,0,0,0,3,0,3,1,1,0.0052,2,0.0026
8,GB,G,B,1,2,3,4,5,0,0,0,0,0,0,3,1,4,  3/4 ,0.75,0.0054,3,0.0018
9,BN,B,N,1,2,3,3,3,0,0,0,1,0,HERBIVORY,3,2,5,  3/5 ,0.6,,,
10,GN,G,N,1,2,3,4,5,0,0,0,0,0,0,4,0,4,1,1,0.0117,4,0.002925
11,GB,G,B,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
12,NB,N,B,1,2,2,2,2,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
13,GN,G,N,1,2,2,2,2,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
14,GG,G,G,1,2,3,4,7,0,0,0,0,0,0,9,0,9,1,1,0.0217,6,0.003616667
15,BN,B,N,1,1,1,1,3,0,0,0,0,0,0,0,13,13,0,0,0.0035,3,0.001166667
16,BG,B,G,1,2,2,2,2,0,0,1,1,0,0,0,0,0,NA,NA,,,
17,NN,N,N,1,2,2,2,2,0,0,1,1,0,0,2,0,2,1,1,,,
18,BG,B,G,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
19,NB,N,B,1,2,3,4,6,0,0,0,0,0,0,5,9,14,  5/14,0.357142857,0.0203,5,0.00406
20,GG,G,G,1,2,3,4,7,0,0,0,0,0,0,8,0,8,1,1,0.0101,4,0.002525
21,BG,B,G,1,2,3,4,7,0,0,0,0,0,0,5,0,5,1,1,0.0223,6,0.003716667
22,BN,B,N,1,2,3,3,3,0,0,0,1,0,0,0,2,2,0,0,0.002,0,
23,NB,N,B,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
24,GN,G,N,1,2,2,4,5,0,0,0,0,0,0,5,0,5,1,1,0.0063,3,0.0021
25,GG,G,G,1,2,3,4,6,0,0,0,0,0,0,11,0,11,1,1,0.0131,5,0.00262
26,NG,N,G,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
27,NB,N,B,1,2,2,2,2,0,0,1,1,0,0,0,0,0,NA,NA,,,
28,GN,G,N,1,2,3,3,3,0,0,1,1,0,0,2,0,2,1,1,,,
29,BN,B,N,1,2,3,3,3,0,0,1,1,0,0,0,12,12,0,0,,,
30,BB,B,B,1,2,3,4,6,0,0,0,0,0,0,2,6,8,  1/4 ,0.25,0.0052,2,0.0026
31,GG,G,G,1,2,3,3,3,0,0,1,1,0,0,5,0,5,1,1,,,
32,NN,N,N,1,2,3,4,5,0,0,0,0,1,0,2,0,2,1,1,0.0076,3,0.002533333
33,GB,G,B,1,2,2,2,2,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
